dataset,pred_len,lr,dropout,train_epochs,batch_size,mse,mae,mape,msmape,tag
etth1,192,0.001,0.2,10,32,0.4063209593296051,0.4149835407733917,8.728429794311523,59.24510955810547,etth1_M_in7_pl192_lr0p001_do0p2_ep10_bs32
etth1,192,0.005,0.0,10,32,0.4040868580341339,0.41248735785484314,8.638894081115723,58.79321098327637,etth1_M_in7_pl192_lr0p005_do0p0_ep10_bs32
etth1,192,0.005,0.05,10,32,0.4040868580341339,0.41248735785484314,8.638894081115723,58.79321098327637,etth1_M_in7_pl192_lr0p005_do0p05_ep10_bs32
etth1,192,0.005,0.1,10,32,0.4040868580341339,0.41248735785484314,8.638894081115723,58.79321098327637,etth1_M_in7_pl192_lr0p005_do0p1_ep10_bs32
etth1,192,0.005,0.2,10,32,0.4040868580341339,0.41248735785484314,8.638894081115723,58.79321098327637,etth1_M_in7_pl192_lr0p005_do0p2_ep10_bs32
weather,96,0.0001,0.0,10,16,0.1744806170463562,0.23453624546527863,10.821922302246094,40.526801347732544,weather_M_in21_pl96_lr0p0001_do0p0_ep10_bs16
weather,96,0.0001,0.05,10,16,0.1744806170463562,0.23453624546527863,10.821922302246094,40.526801347732544,weather_M_in21_pl96_lr0p0001_do0p05_ep10_bs16
weather,96,0.0001,0.1,10,16,0.1744806170463562,0.23453624546527863,10.821922302246094,40.526801347732544,weather_M_in21_pl96_lr0p0001_do0p1_ep10_bs16
weather,96,0.0001,0.2,10,16,0.1744806170463562,0.23453624546527863,10.821922302246094,40.526801347732544,weather_M_in21_pl96_lr0p0001_do0p2_ep10_bs16
weather,96,0.0005,0.0,10,16,0.17357027530670166,0.2329484522342682,10.789841651916504,40.21988809108734,weather_M_in21_pl96_lr0p0005_do0p0_ep10_bs16
weather,96,0.0005,0.05,10,16,0.17357027530670166,0.2329484522342682,10.789841651916504,40.21988809108734,weather_M_in21_pl96_lr0p0005_do0p05_ep10_bs16
weather,96,0.0005,0.1,10,16,0.17357027530670166,0.2329484522342682,10.789841651916504,40.21988809108734,weather_M_in21_pl96_lr0p0005_do0p1_ep10_bs16
weather,96,0.0005,0.2,10,16,0.17357027530670166,0.2329484522342682,10.789841651916504,40.21988809108734,weather_M_in21_pl96_lr0p0005_do0p2_ep10_bs16
weather,96,0.001,0.0,10,16,0.17564785480499268,0.23862019181251526,10.276758193969727,41.04093611240387,weather_M_in21_pl96_lr0p001_do0p0_ep10_bs16
weather,96,0.001,0.05,10,16,0.17564785480499268,0.23862019181251526,10.276758193969727,41.04093611240387,weather_M_in21_pl96_lr0p001_do0p05_ep10_bs16
weather,96,0.001,0.1,10,16,0.17564785480499268,0.23862019181251526,10.276758193969727,41.04093611240387,weather_M_in21_pl96_lr0p001_do0p1_ep10_bs16
weather,96,0.001,0.2,10,16,0.17564785480499268,0.23862019181251526,10.276758193969727,41.04093611240387,weather_M_in21_pl96_lr0p001_do0p2_ep10_bs16
weather,96,0.005,0.0,10,16,0.17460918426513672,0.23503044247627258,10.593326568603516,40.53189754486084,weather_M_in21_pl96_lr0p005_do0p0_ep10_bs16
weather,96,0.005,0.05,10,16,0.17460918426513672,0.23503044247627258,10.593326568603516,40.53189754486084,weather_M_in21_pl96_lr0p005_do0p05_ep10_bs16
weather,96,0.005,0.1,10,16,0.17460918426513672,0.23503044247627258,10.593326568603516,40.53189754486084,weather_M_in21_pl96_lr0p005_do0p1_ep10_bs16
weather,96,0.005,0.2,10,16,0.17460918426513672,0.23503044247627258,10.593326568603516,40.53189754486084,weather_M_in21_pl96_lr0p005_do0p2_ep10_bs16
weather,192,0.0001,0.0,10,16,0.21768943965435028,0.2777419090270996,10.626925468444824,47.54064381122589,weather_M_in21_pl192_lr0p0001_do0p0_ep10_bs16
weather,192,0.0001,0.05,10,16,0.21768943965435028,0.2777419090270996,10.626925468444824,47.54064381122589,weather_M_in21_pl192_lr0p0001_do0p05_ep10_bs16
weather,192,0.0001,0.1,10,16,0.21768943965435028,0.2777419090270996,10.626925468444824,47.54064381122589,weather_M_in21_pl192_lr0p0001_do0p1_ep10_bs16
weather,192,0.0001,0.2,10,16,0.21768943965435028,0.2777419090270996,10.626925468444824,47.54064381122589,weather_M_in21_pl192_lr0p0001_do0p2_ep10_bs16
weather,192,0.0005,0.0,10,16,0.22337090969085693,0.28855100274086,10.016125679016113,49.21753108501434,weather_M_in21_pl192_lr0p0005_do0p0_ep10_bs16
weather,192,0.0005,0.05,10,16,0.22337090969085693,0.28855100274086,10.016125679016113,49.21753108501434,weather_M_in21_pl192_lr0p0005_do0p05_ep10_bs16
weather,192,0.0005,0.1,10,16,0.22337090969085693,0.28855100274086,10.016125679016113,49.21753108501434,weather_M_in21_pl192_lr0p0005_do0p1_ep10_bs16
weather,192,0.0005,0.2,10,16,0.22337090969085693,0.28855100274086,10.016125679016113,49.21753108501434,weather_M_in21_pl192_lr0p0005_do0p2_ep10_bs16
weather,192,0.001,0.0,10,16,0.21598738431930542,0.2738814651966095,10.783292770385742,46.86039388179779,weather_M_in21_pl192_lr0p001_do0p0_ep10_bs16
weather,192,0.001,0.05,10,16,0.21598738431930542,0.2738814651966095,10.783292770385742,46.86039388179779,weather_M_in21_pl192_lr0p001_do0p05_ep10_bs16
weather,192,0.001,0.1,10,16,0.21598738431930542,0.2738814651966095,10.783292770385742,46.86039388179779,weather_M_in21_pl192_lr0p001_do0p1_ep10_bs16
weather,192,0.001,0.2,10,16,0.21598738431930542,0.2738814651966095,10.783292770385742,46.86039388179779,weather_M_in21_pl192_lr0p001_do0p2_ep10_bs16
weather,192,0.005,0.0,10,16,0.2169499695301056,0.27628132700920105,10.586808204650879,47.238242626190186,weather_M_in21_pl192_lr0p005_do0p0_ep10_bs16
weather,192,0.005,0.05,10,16,0.2169499695301056,0.27628132700920105,10.586808204650879,47.238242626190186,weather_M_in21_pl192_lr0p005_do0p05_ep10_bs16
weather,192,0.005,0.1,10,16,0.2169499695301056,0.27628132700920105,10.586808204650879,47.238242626190186,weather_M_in21_pl192_lr0p005_do0p1_ep10_bs16
weather,192,0.005,0.2,10,16,0.2169499695301056,0.27628132700920105,10.586808204650879,47.238242626190186,weather_M_in21_pl192_lr0p005_do0p2_ep10_bs16
